21:46:43.060 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [AbstractApplicationContext.java:513] - [******] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2fbcacba: startup date [Wed Aug 27 21:46:43 CEST 2014]; root of context hierarchy
21:46:44.472 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:309] - [******] - Bean 'getHealthCheckRegistry' of type [class com.codahale.metrics.health.HealthCheckRegistry] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:46:44.833 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainerFactory [TomcatEmbeddedServletContainerFactory.java:145] - [******] - Server initialized with port: 8282
21:46:45.043 [localhost-startStop-1] INFO  o.s.w.c.ContextLoader [EmbeddedWebApplicationContext.java:337] - [******] - Root WebApplicationContext: initialization completed in 1983 ms
21:46:45.049 [localhost-startStop-1] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [AutowiredAnnotationBeanPostProcessor.java:364] - [******] - Autowired annotation should be used on methods with actual parameters: public org.springframework.data.mongodb.MongoDbFactory com.viotualize.core.boot.MongoEnabledServiceStarter.mongoDbFactory() throws java.lang.Exception
21:46:45.061 [localhost-startStop-1] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [AutowiredAnnotationBeanPostProcessor.java:364] - [******] - Autowired annotation should be used on methods with actual parameters: public org.springframework.boot.context.embedded.ServletRegistrationBean com.viotualize.core.boot.ServiceStarter.hystrixServletRegistrationBean()
21:46:45.952 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean [FilterRegistrationBean.java:283] - [******] - Mapping filter: 'guiceFilter' to: [/*]
21:46:45.953 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean [ServletRegistrationBean.java:165] - [******] - Mapping servlet: 'refIdEnabledCxfServlet' to [/api/*]
21:46:45.953 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean [ServletRegistrationBean.java:165] - [******] - Mapping servlet: 'metricsServlet' to [/codahale-metrics]
21:46:45.954 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean [ServletRegistrationBean.java:165] - [******] - Mapping servlet: 'hystrixMetricsStreamServlet' to [/hystrix.stream]
21:46:45.954 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean [ServletRegistrationBean.java:165] - [******] - Mapping servlet: 'dispatcherServlet' to [/]
21:46:45.954 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean [FilterRegistrationBean.java:283] - [******] - Mapping filter: 'metricFilter' to: [/*]
21:46:45.954 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean [FilterRegistrationBean.java:283] - [******] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
21:46:45.955 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean [FilterRegistrationBean.java:283] - [******] - Mapping filter: 'applicationContextIdFilter' to: [/*]
21:46:45.955 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean [FilterRegistrationBean.java:283] - [******] - Mapping filter: 'webRequestLoggingFilter' to: [/*]
21:46:47.662 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:315] - [******] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
21:46:47.758 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/error],methods=[],params=[],headers=[],consumes=[],produces=[text/html],custom=[]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest)
21:46:47.758 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/error],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
21:46:47.763 [main] INFO  o.s.w.s.c.a.WebMvcConfigurerAdapter [WebMvcAutoConfiguration.java:271] - [******] - Adding welcome page: jar:file:/home/omoser/Dropbox/viotualize-bak/viotualize/api/viotualize-environment-service/target/environment-service-0.0.1-SNAPSHOT.jar!/static/index.html
21:46:47.765 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:302] - [******] - Root mapping to handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController]
21:46:47.773 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:315] - [******] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
21:46:47.773 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:315] - [******] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
21:46:48.114 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter [MBeanExporter.java:415] - [******] - Registering beans for JMX exposure on startup
21:46:48.141 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:415] - [******] - Registering beans for JMX exposure on startup
21:46:48.212 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/metrics/{name:.*}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
21:46:48.212 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/metrics],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.213 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/configprops],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.213 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/env/{name:.*}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
21:46:48.213 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/env],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.213 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/health],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke()
21:46:48.213 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/dump],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.214 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/info],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.214 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/mappings],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.214 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/beans],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.214 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/trace],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.214 [main] INFO  o.s.b.a.e.m.EndpointHandlerMapping [AbstractHandlerMethodMapping.java:197] - [******] - Mapped "{[/autoconfig],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
21:46:48.226 [main] INFO  o.s.c.s.DefaultLifecycleProcessor [DefaultLifecycleProcessor.java:341] - [******] - Starting beans in phase 0
21:46:48.227 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'requestMappingEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=requestMappingEndpoint]
21:46:48.249 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'environmentEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=environmentEndpoint]
21:46:48.252 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'healthEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=healthEndpoint]
21:46:48.254 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'beansEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=beansEndpoint]
21:46:48.257 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'infoEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=infoEndpoint]
21:46:48.259 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'metricsEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=metricsEndpoint]
21:46:48.262 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'traceEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=traceEndpoint]
21:46:48.264 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'dumpEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=dumpEndpoint]
21:46:48.268 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'autoConfigurationAuditEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=autoConfigurationAuditEndpoint]
21:46:48.271 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'shutdownEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=shutdownEndpoint]
21:46:48.278 [main] INFO  o.s.b.a.e.j.EndpointMBeanExporter [MBeanExporter.java:658] - [******] - Located managed bean 'configurationPropertiesReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=configurationPropertiesReportEndpoint]
21:46:48.321 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer [TomcatEmbeddedServletContainer.java:221] - [******] - Tomcat started on port(s): 8282/http
21:47:20.909 [http-nio-8282-exec-1] INFO  o.s.w.s.DispatcherServlet [FrameworkServlet.java:479] - [******] - FrameworkServlet 'dispatcherServlet': initialization started
21:47:20.940 [http-nio-8282-exec-1] INFO  o.s.w.s.DispatcherServlet [FrameworkServlet.java:498] - [******] - FrameworkServlet 'dispatcherServlet': initialization completed in 31 ms
